random.ID,year,semester,subjectCode,num
IVBlCGzo,2013,1,GEK10011,1
IVBlCGzo,2013,1,GEK10015,1
IVBlCGzo,2013,1,GEK10041,2
IVBlCGzo,2013,1,GEK10045,12
IVBlCGzo,2013,1,GEK30022,1
IVBlCGzo,2013,1,ISL20077,2
IVBlCGzo,2013,1,PCO10012,2
IVBlCGzo,2013,1,PCO10058,10
IVBlCGzo,2013,2,GEK10002,1
IVBlCGzo,2013,2,GEK10022,1
IVBlCGzo,2013,2,GEK10057,2
IVBlCGzo,2013,2,GEK10076,1
IVBlCGzo,2013,2,GEK20008,1
IVBlCGzo,2013,2,GEK30015,1
IVBlCGzo,2013,2,GEK30045,1
IVBlCGzo,2013,2,ISE10051,1
IVBlCGzo,2013,2,PCO10057,19
IVBlCGzo,2013,3,GEK10007,3
IVBlCGzo,2013,3,PCO10013,1
IVBlCGzo,2014,1,BFT20001,2
IVBlCGzo,2014,1,BFT20002,1
IVBlCGzo,2014,1,GEK10009,1
IVBlCGzo,2014,1,GEK10016,1
IVBlCGzo,2014,1,GEK10040,2
IVBlCGzo,2014,1,GEK10058,2
IVBlCGzo,2014,1,GEK20001,1
IVBlCGzo,2014,1,GEK30007,1
IVBlCGzo,2014,1,GEK40096,2
IVBlCGzo,2014,2,BFT20003,2
IVBlCGzo,2014,2,BFT20004,1
IVBlCGzo,2014,2,BFT20007,1
IVBlCGzo,2014,2,BFT20011,1
IVBlCGzo,2014,2,BFT20012,1
IVBlCGzo,2014,2,BFT20013,1
IVBlCGzo,2014,2,BFT20014,1
IVBlCGzo,2014,2,GEK10007,15
IVBlCGzo,2014,2,GEK20002,1
IVBlCGzo,2014,2,GEK20009,1
IVBlCGzo,2014,2,GEK20028,2
IVBlCGzo,2014,2,PCO20004,15
IVBlCGzo,2015,1,BFT20002,1
IVBlCGzo,2015,1,BFT30016,1
IVBlCGzo,2015,1,BFT30027,1
IVBlCGzo,2015,1,CSW20001,1
IVBlCGzo,2015,1,CSW20012,2
IVBlCGzo,2015,1,GEK30001,1
IVBlCGzo,2015,1,GEK30008,1
IVBlCGzo,2015,1,PCO20053,2
IVBlCGzo,2015,2,BFT20011,1
IVBlCGzo,2015,2,BFT30058,1
IVBlCGzo,2015,2,BFT40010,1
IVBlCGzo,2015,2,CSW30035,1
IVBlCGzo,2015,2,CSW40010,2
IVBlCGzo,2015,2,GCS10002,1
IVBlCGzo,2015,2,GEK20046,1
IVBlCGzo,2015,2,GEK30002,1
IVBlCGzo,2015,2,GEK30009,1
IVBlCGzo,2015,3,PCO20004,2
IVBlCGzo,2016,1,BFT30001,1
IVBlCGzo,2016,1,BFT30004,3
