,year,semester,subjectCode,num,time,course
294,2013,1,HMM40043,1,"M3,Th3",HMM40043.1
295,2013,1,HMM40052,1,"M5,Th5",HMM40052.1
296,2013,1,CUE20002,1,"M5,Th5",CUE20002.1
297,2013,1,CUE20003,2,"Th5,Th6,Th7",CUE20003.2
298,2013,1,CUE20005,1,"M4,T4",CUE20005.1
299,2013,1,CUE20051,1,"M2,Th2",CUE20051.1
300,2013,1,CUE20052,1,"M1,Th1",CUE20052.1
301,2013,1,CUE30007,1,"M5,M6,M7,M8",CUE30007.1
302,2013,1,CUE30030,1,"M2,Th2",CUE30030.1
303,2013,1,CUE30051,1,"M2,Th2",CUE30051.1
304,2013,1,CUE30052,1,"M4,Th4",CUE30052.1
305,2013,1,CUE30059,1,"M6,Th6",CUE30059.1
306,2013,1,CUE30062,1,"M5,M6,M7",CUE30062.1
307,2013,1,CUE40003,1,"Th5,Th6,Th7,Th8",CUE40003.1
308,2013,1,SIE10004,1,"Th8,Th9,Th10",SIE10004.1
309,2013,1,SIE10006,1,"Th8,Th9,Th10",SIE10006.1
310,2013,1,SIE10024,1,"M8,M9,M10",SIE10024.1
311,2013,1,SIE10026,1,"Th8,Th9,Th10",SIE10026.1
312,2013,1,SIE20007,1,"M8,M9,M10",SIE20007.1
313,2013,1,SIE20008,1,"M8,M9,M10",SIE20008.1
314,2013,1,SIE20052,1,"M8,M9,M10",SIE20052.1
315,2013,1,SIE30002,1,"Th8,Th9,Th10",SIE30002.1
316,2013,1,SIE30040,1,"M8,M9,M10",SIE30040.1
317,2013,1,SIE40013,1,"Th8,Th9,Th10",SIE40013.1
318,2013,1,SIE40014,1,"M8,M9,M10",SIE40014.1
319,2013,1,SIE40061,1,"M11,Th11,S3",SIE40061.1
